Year,dgdpratio
1950,11.3
1951,15.0
1952,18.3
1953,15.9
1954,13.7
1955,12.2
1956,11.2
1957,7.5
1958,8.4
1959,10.4
1960,10.2
1961,11.1
1962,13.1
1963,19.2
1964,18.5
1965,19.1
1966,16.0
1967,17.9
1968,19.3
1969,21.3
1970,18.8
1971,19.0
1972,20.1
1973,16.6
1974,17.5
1975,18.2
1976,20.8
1977,23.2
1978,23.7
1979,23.1
1980,24.6
1981,28.8
1982,29.6
1983,34.0
1984,40.5
1985,47.1
1986,47.7
1987,53.0
1988,62.7
1989,65.8
1990,89.1
1991,91.1
1992,97.6
1993,97.6
1994,103.2
1995,104.8
1996,108.1
1997,105.2
1998,103.7
1999,103.6
2000,108.9
2001,106.3
2002,109.8
2003,106.5
2004,108.8
2005,110.9
2006,108.0
2007,106.3
2008,109.7
2009,126.8
2010,144.0
